timestamp,pass_number,slave_id,window_start,status,REG_0,REG_1,REG_2,REG_3,REG_4,REG_5,REG_6,REG_7,REG_8,REG_9,REG_10,REG_11,REG_12,REG_13,REG_14,REG_15,REG_16,REG_17,REG_18,REG_19,REG_20,REG_21,REG_22,REG_23,REG_24,REG_25,REG_26,REG_27,REG_28,REG_29,REG_30,REG_31
18:41:50.548,1,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
18:41:50.816,1,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
18:41:51.080,1,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
18:41:51.349,1,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
18:41:51.616,1,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,834
18:41:53.891,2,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
18:41:54.159,2,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
18:41:54.426,2,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
18:41:54.696,2,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
18:41:54.963,2,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,834
18:41:57.235,3,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
18:41:57.501,3,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
18:41:57.772,3,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
18:41:58.035,3,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
18:41:58.299,3,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,834
18:42:00.575,4,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
18:42:00.841,4,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
