timestamp,pass_number,slave_id,window_start,status,REG_0,REG_1,REG_2,REG_3,REG_4,REG_5,REG_6,REG_7,REG_8,REG_9,REG_10,REG_11,REG_12,REG_13,REG_14,REG_15,REG_16,REG_17,REG_18,REG_19,REG_20,REG_21,REG_22,REG_23,REG_24,REG_25,REG_26,REG_27,REG_28,REG_29,REG_30,REG_31
21:58:28.804,1,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:29.065,1,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:29.328,1,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:29.589,1,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:29.851,1,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,1113
21:58:32.116,2,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:32.378,2,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:32.640,2,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:32.901,2,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:33.162,2,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,1113
21:58:35.427,3,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:35.688,3,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:35.949,3,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:36.210,3,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:36.472,3,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,1113
21:58:38.735,4,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:38.996,4,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:39.257,4,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:39.518,4,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:39.779,4,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,1113
21:58:42.043,5,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:42.304,5,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:42.566,5,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:42.827,5,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:43.089,5,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,1151
21:58:45.352,6,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:45.613,6,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:45.874,6,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:46.135,6,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:46.397,6,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,1343
21:58:48.661,7,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:48.924,7,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:49.185,7,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:49.446,7,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:49.707,7,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,1708
21:58:51.971,8,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:52.232,8,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:52.493,8,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:52.754,8,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:53.015,8,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,1949
21:58:55.277,9,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
21:58:55.538,9,2,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,1,0,0,0,2000,0,0
21:58:55.804,9,3,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,3,2,1,0,300,0,209
21:58:56.068,9,4,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,65,3,0,0,100,0,0
21:58:56.329,9,5,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,18,0,0,0,50000,0,2064
21:58:58.592,10,1,0,OK,0,0,0,0,0,0,201,201,0,10135,201,180,1,1,1,0,31,1,1,3,64113,5,1688,59727,12802,2,0,1,0,2000,0,0
